Fase;Habilitante;Nombre habilitante;IGIF habilitante;Verificable;Criterio;IGIF verificable
2;6;Primer producto informativo útil;IGIF 5 · Innovación | IGIF 9 · Comunicación y compromiso;06.2;El área destinataria ha revisado o utilizado el resultado y reconoce para qué le sirve.;IGIF 9 · Comunicación y compromiso
3;7;Gestión geoespacial formalizada;IGIF 1 · Gobernanza e instituciones | IGIF 2 · Políticas y marco legal;07.1;Un instrumento formal vigente de autoridad competente respalda la gestión geoespacial del ámbito evaluado.;IGIF 1 · Gobernanza e instituciones | IGIF 2 · Políticas y marco legal
3;7;Gestión geoespacial formalizada;IGIF 1 · Gobernanza e instituciones | IGIF 2 · Políticas y marco legal;07.2;El respaldo institucional asigna responsabilidades para conducir y coordinar esa gestión.;IGIF 1 · Gobernanza e instituciones
3;8;Inventario de datos con responsabilidades definidas;IGIF 4 · Datos | IGIF 1 · Gobernanza e instituciones;08.1;Existe un inventario estructurado de los datos priorizados con información suficiente para ubicarlos y reconocer su gestión.;IGIF 4 · Datos
3;8;Inventario de datos con responsabilidades definidas;IGIF 4 · Datos | IGIF 1 · Gobernanza e instituciones;08.2;Están asignadas y reconocidas las responsabilidades sobre esos datos y el mantenimiento del inventario.;IGIF 1 · Gobernanza e instituciones | IGIF 4 · Datos
3;9;Reglas de gestión y documentación definidas;IGIF 2 · Políticas y marco legal | IGIF 6 · Normas y estándares;09.1;Existen directrices reconocidas para gestionar y documentar los datos, incluidos los criterios técnicos pertinentes.;IGIF 2 · Políticas y marco legal | IGIF 6 · Normas y estándares
3;9;Reglas de gestión y documentación definidas;IGIF 2 · Políticas y marco legal | IGIF 6 · Normas y estándares;09.2;Los datos priorizados tienen condiciones de acceso y reutilización identificadas y justificadas.;IGIF 2 · Políticas y marco legal
3;10;Plataforma geoespacial en implementación;IGIF 5 · Innovación;10.1;Se define una solución tecnológica para las funciones geoespaciales priorizadas y su alcance de uso.;IGIF 5 · Innovación
3;10;Plataforma geoespacial en implementación;IGIF 5 · Innovación;10.2;La implementación está iniciada con responsabilidades de administración o soporte asignadas.;IGIF 5 · Innovación
3;11;Equipo y capacidades institucionales definidos;IGIF 8 · Capacidad y educación | IGIF 1 · Gobernanza e instituciones;11.1;Las funciones geoespaciales necesarias tienen personal o apoyo asignado con dedicación identificable.;IGIF 1 · Gobernanza e instituciones | IGIF 8 · Capacidad y educación
3;11;Equipo y capacidades institucionales definidos;IGIF 8 · Capacidad y educación | IGIF 1 · Gobernanza e instituciones;11.2;Las brechas de competencias tienen una medida de formación o apoyo definida, o se respalda su cobertura.;IGIF 8 · Capacidad y educación
3;12;Plan de trabajo institucional reconocido;IGIF 1 · Gobernanza e instituciones | IGIF 3 · Financiera;12.1;Existe un plan reconocido institucionalmente con acciones geoespaciales priorizadas y responsables.;IGIF 1 · Gobernanza e instituciones | IGIF 3 · Financiera
3;12;Plan de trabajo institucional reconocido;IGIF 1 · Gobernanza e instituciones | IGIF 3 · Financiera;12.2;Las acciones cuentan con plazos y resultados esperados que permiten revisar su cumplimiento.;IGIF 1 · Gobernanza e instituciones | IGIF 3 · Financiera
4;13;Calidad y actualización controladas;IGIF 4 · Datos;13.1;Se aplica una revisión de calidad o aptitud adecuada al uso de los datos priorizados y se registra su resultado.;IGIF 4 · Datos
4;13;Calidad y actualización controladas;IGIF 4 · Datos;13.2;Se ejecuta la actualización o revisión de vigencia según la frecuencia o evento definido.;IGIF 4 · Datos
4;14;Catálogo inicial mantenido;IGIF 4 · Datos | IGIF 6 · Normas y estándares;14.1;Funciona un catálogo inicial con fichas consultables de datos priorizados.;IGIF 4 · Datos | IGIF 6 · Normas y estándares
4;14;Catálogo inicial mantenido;IGIF 4 · Datos | IGIF 6 · Normas y estándares;14.2;Las fichas se revisan y mantienen con información suficiente para comprender y acceder al recurso.;IGIF 4 · Datos | IGIF 6 · Normas y estándares
4;15;Publicación y acceso para reutilización;IGIF 4 · Datos | IGIF 9 · Comunicación y compromiso;15.1;Los usuarios autorizados acceden a datos o productos por un mecanismo operativo que permite el uso previsto.;IGIF 4 · Datos
4;15;Publicación y acceso para reutilización;IGIF 4 · Datos | IGIF 9 · Comunicación y compromiso;15.2;Los usuarios disponen de orientación y condiciones de reutilización comprensibles.;IGIF 4 · Datos | IGIF 9 · Comunicación y compromiso
4;16;Normas y estándares en aplicación;IGIF 6 · Normas y estándares;16.1;Se demuestra una primera aplicación pertinente de una norma, estándar o especificación en un recurso o proceso.;IGIF 6 · Normas y estándares
4;16;Normas y estándares en aplicación;IGIF 6 · Normas y estándares;16.2;Las brechas de implementación identificadas tienen acciones de ajuste definidas o se respalda la cobertura del alcance inicial.;IGIF 6 · Normas y estándares
4;17;Información e intercambio protegidos;IGIF 2 · Políticas y marco legal;17.1;Se aplican controles de acceso o protección acordes con la sensibilidad de los datos revisados.;IGIF 2 · Políticas y marco legal
4;17;Información e intercambio protegidos;IGIF 2 · Políticas y marco legal;17.2;Se dispone de un mecanismo conocido y utilizable para atender incidentes o cambios que afectan la protección.;IGIF 2 · Políticas y marco legal
4;18;Operación con soporte especializado;IGIF 8 · Capacidad y educación | IGIF 3 · Financiera;18.1;La operación tecnológica priorizada se mantiene y se comprueba su continuidad.;IGIF 3 · Financiera | IGIF 8 · Capacidad y educación
4;18;Operación con soporte especializado;IGIF 8 · Capacidad y educación | IGIF 3 · Financiera;18.2;Las funciones especializadas necesarias están definidas y cubiertas con competencias, dedicación y recursos disponibles.;IGIF 3 · Financiera | IGIF 8 · Capacidad y educación
4;19;Uso habitual y conducción institucional;IGIF 1 · Gobernanza e instituciones | IGIF 4 · Datos;19.1;La información geoespacial se utiliza regularmente en un proceso institucional identificado.;IGIF 4 · Datos
4;19;Uso habitual y conducción institucional;IGIF 1 · Gobernanza e instituciones | IGIF 4 · Datos;19.2;La autoridad pertinente o instancia directiva facultada revisa avances y adopta decisiones para sostener la operación.;IGIF 1 · Gobernanza e instituciones
5;20;Datos compatibles e integrados;IGIF 4 · Datos | IGIF 6 · Normas y estándares;20.1;Se conocen y mantienen las correspondencias necesarias para interpretar los datos compartidos.;IGIF 4 · Datos | IGIF 6 · Normas y estándares
5;20;Datos compatibles e integrados;IGIF 4 · Datos | IGIF 6 · Normas y estándares;20.2;Un resultado de integración demuestra que esas correspondencias funcionan para el uso previsto.;IGIF 4 · Datos | IGIF 6 · Normas y estándares
5;21;Sistemas y catálogos interoperables;IGIF 6 · Normas y estándares | IGIF 5 · Innovación;21.1;Existe intercambio geoespacial entre sistemas que funciona de forma recurrente.;IGIF 5 · Innovación | IGIF 6 · Normas y estándares
5;21;Sistemas y catálogos interoperables;IGIF 6 · Normas y estándares | IGIF 5 · Innovación;21.2;El catálogo participa en un intercambio comprobable de metadatos y se revisa su funcionamiento.;IGIF 6 · Normas y estándares
5;22;Equipos coordinados para interoperar;IGIF 7 · Alianzas | IGIF 8 · Capacidad y educación;22.1;Los equipos ejercen responsabilidades acordadas para entregar, recibir, validar y atender cambios del intercambio.;IGIF 7 · Alianzas | IGIF 8 · Capacidad y educación
5;22;Equipos coordinados para interoperar;IGIF 7 · Alianzas | IGIF 8 · Capacidad y educación;22.2;Se aplican mecanismos de transferencia y continuidad del conocimiento necesario para mantener la integración.;IGIF 7 · Alianzas | IGIF 8 · Capacidad y educación
5;23;Sostenibilidad de la integración formalizada;IGIF 1 · Gobernanza e instituciones | IGIF 2 · Políticas y marco legal | IGIF 3 · Financiera;23.1;Acuerdos o actos administrativos vigentes establecen responsabilidades y compromisos para sostener la integración.;IGIF 1 · Gobernanza e instituciones | IGIF 2 · Políticas y marco legal | IGIF 3 · Financiera
5;23;Sostenibilidad de la integración formalizada;IGIF 1 · Gobernanza e instituciones | IGIF 2 · Políticas y marco legal | IGIF 3 · Financiera;23.2;La autoridad pertinente revisa y respalda el cumplimiento efectivo de esos compromisos.;IGIF 1 · Gobernanza e instituciones | IGIF 2 · Políticas y marco legal | IGIF 3 · Financiera
5;24;Productos con valor institucional demostrado;IGIF 4 · Datos | IGIF 1 · Gobernanza e instituciones;24.1;Se demuestra cómo un producto basado en información integrada contribuyó a una decisión o resultado institucional concreto.;IGIF 1 · Gobernanza e instituciones | IGIF 4 · Datos
5;24;Productos con valor institucional demostrado;IGIF 4 · Datos | IGIF 1 · Gobernanza e instituciones;24.2;El seguimiento de resultados o metas del ámbito produjo una mejora aplicada cuyo efecto fue revisado.;IGIF 1 · Gobernanza e instituciones | IGIF 4 · Datos
5;25;Comunicación planificada de productos y resultados;IGIF 9 · Comunicación y compromiso;25.1;Existe planificación reconocida para comunicar productos y resultados a públicos internos y externos pertinentes.;IGIF 9 · Comunicación y compromiso
5;25;Comunicación planificada de productos y resultados;IGIF 9 · Comunicación y compromiso;25.2;Se ejecutan acciones de comunicación y se revisa su alcance o utilidad para orientar ajustes.;IGIF 9 · Comunicación y compromiso
